"idinvestiment";"iduser";"idperson";"idsgcompany";"dtbuy";"dtsell";"dtregister"
346;1;21;19;"2020-11-27";"";"2021-04-15 19:10:37"
348;1;3;3;"2020-11-30";"2020-12-02";"2021-04-15 19:15:04"
349;1;21;19;"2020-11-30";"";"2021-04-15 19:15:33"
350;1;21;19;"2020-11-30";"";"2021-04-15 19:15:52"
351;1;27;25;"2020-12-01";"2020-12-16";"2021-04-15 19:17:20"
352;1;21;19;"2020-12-01";"";"2021-04-15 19:18:12"
353;1;3;3;"2020-12-03";"2020-12-10";"2021-04-15 19:18:28"
354;1;27;25;"2020-12-03";"2020-12-16";"2021-04-15 19:19:03"
360;1;17;15;"2020-12-17";"2021-05-26";"2021-04-15 20:04:09"
361;1;23;21;"2020-12-18";"2021-01-14";"2021-04-15 20:04:31"
362;1;17;15;"2020-12-18";"2021-05-26";"2021-04-15 20:10:30"
363;1;23;21;"2021-01-07";"2021-01-14";"2021-04-15 20:11:05"
364;1;21;19;"2021-01-07";"";"2021-04-15 20:11:29"
366;1;23;21;"2021-01-18";"";"2021-04-15 20:16:40"
367;1;24;23;"2021-01-21";"2021-05-04";"2021-04-15 20:17:15"
368;1;24;26;"2021-01-21";"";"2021-04-15 20:17:37"
374;1;17;27;"2020-05-06";"2021-05-07";"2021-05-29 05:28:23"
380;1;17;15;"2021-01-21";"2021-05-26";"2021-06-01 06:26:34"
381;1;17;28;"2021-05-11";"2021-05-14";"2021-06-04 05:50:24"
382;1;17;28;"2021-05-12";"2021-05-14";"2021-06-04 05:51:30"
383;1;17;28;"2021-05-13";"2021-01-14";"2021-06-04 05:52:09"
